X1,Eff..PAI,True.PAI,method1,method2,site,plot,year,month,fcover,se_for_true_PAI,Direct_fapar,Diffuse_fapar,final_FAPAR,plot_code,CF
CE V6.1,1.59,2.77,CE,P180,KOG,2,2013,9,0.584151442,0.141113712,0.698244009,0.729606693,0.723334156,KOG-02,0.57400722
CE V6.1,1.6,2.95,CE,P180,KOG,2,2013,11,0.618665181,0.154116237,0.724474874,0.749849234,0.744774362,KOG-02,0.542372881
CE V6.1,1.7,2.98,CE,P180,KOG,2,2013,12,0.595061194,0.17081561,0.725636986,0.750448934,0.745486545,KOG-02,0.570469799
CE V6.1,1.61,2.87,CE,P180,KOG,2,2014,1,0.580673596,0.139327603,0.704570536,0.730463116,0.7252846,KOG-02,0.56097561
CE V6.1,1.34,2.32,CE,P180,KOG,2,2014,2,0.488421183,0.116604381,0.641833561,0.671114471,0.665258289,KOG-02,0.577586207
CE V6.1,0.88,1.61,CE,P180,KOG,2,2014,3,0.335670493,0.098335753,0.4907339,0.524714135,0.517918088,KOG-02,0.546583851
CE V6.1,1.28,2.38,CE,P180,KOG,2,2014,4,0.503687955,0.158536485,0.635796268,0.66228985,0.656991133,KOG-02,0.537815126
CE V6.1,1.45,2.69,CE,P180,KOG,2,2014,5,0.640512269,0.108386529,0.694087465,0.712215414,0.708589824,KOG-02,0.539033457
CE V6.1,1.85,3.24,CE,P180,KOG,2,2014,7,0.649111233,0.149971666,0.749734863,0.775097859,0.770025259,KOG-02,0.570987654
CE V6.1,1.8,3.14,CE,P180,KOG,2,2014,9,0.624112975,0.14893349,0.731973215,0.760954383,0.755158149,KOG-02,0.573248408
CE V6.1,1.79,3.13,CE,P180,KOG,2,2014,10,0.666192482,0.16066417,0.741019509,0.768140448,0.76271626,KOG-02,0.571884984
CE V6.1,1.61,2.97,CE,P180,KOG,2,2014,11,0.650715842,0.144620133,0.723901096,0.747653944,0.742903375,KOG-02,0.542087542
CE V6.1,1.81,3.21,CE,P180,KOG,2,2014,12,0.613090288,0.142372357,0.722439952,0.755345429,0.748764333,KOG-02,0.563862928
CE V6.1,1.59,2.89,CE,P180,KOG,2,2015,1,0.608856051,0.130894045,0.703486546,0.73217125,0.726434309,KOG-02,0.55017301
CE V6.1,1.45,2.58,CE,P180,KOG,2,2015,2,0.572476181,0.129751608,0.686246171,0.710545513,0.705685645,KOG-02,0.562015504
CE V6.1,1.61,2.81,CE,P180,KOG,2,2015,3,0.558695236,0.093272025,0.701821122,0.730313583,0.724615091,KOG-02,0.572953737
CE V6.1,1.73,3.06,CE,P180,KOG,2,2015,5,0.619579285,0.146554273,0.728988005,0.757875632,0.752098107,KOG-02,0.565359477
CE V6.1,1.65,3.02,CE,P180,KOG,2,2015,6,0.638384886,0.135067282,0.733271386,0.751383065,0.747760729,KOG-02,0.546357616
CE V6.1,1.67,3.14,CE,P180,KOG,2,2015,7,0.663755491,0.123679959,0.751319759,0.76960431,0.7659474,KOG-02,0.531847134
CE V6.1,1.66,2.89,CE,P180,KOG,2,2015,8,0.625945942,0.103720589,0.717727141,0.743282819,0.738171683,KOG-02,0.574394464
CE V6.1,1.73,3,CE,P180,KOG,2,2015,9,0.59703967,0.121136256,0.735852335,0.758464249,0.753941867,KOG-02,0.576666667
CE V6.1,1.55,2.9,CE,P180,KOG,2,2015,10,0.641011731,0.110557973,0.734568162,0.752662962,0.749044002,KOG-02,0.534482759
CE V6.1,1.72,3.09,CE,P180,KOG,2,2015,11,0.633501972,0.119568515,0.733611293,0.760934573,0.755469917,KOG-02,0.556634304
CE V6.1,1.59,2.87,CE,P180,KOG,2,2015,12,0.614811053,0.106700436,0.713268373,0.73458024,0.730317866,KOG-02,0.554006969
CE V6.1,1.27,2.26,CE,P180,KOG,2,2016,2,0.57839724,0.093332663,0.645096615,0.668429092,0.663762596,KOG-02,0.561946903
CE V6.1,1.26,2.26,CE,P180,KOG,2,2016,3,0.561469755,0.095742909,0.63243519,0.656332953,0.651553401,KOG-02,0.557522124
CE V6.1,1.6,2.83,CE,P180,KOG,2,2016,4,0.597200235,0.108311674,0.702864671,0.730221594,0.72475021,KOG-02,0.565371025
CE V6.1,1.6,2.94,CE,P180,KOG,2,2016,5,0.626489502,0.113552574,0.723013197,0.747552523,0.742644658,KOG-02,0.544217687
CE V6.1,1.57,2.85,CE,P180,KOG,2,2017,5,0.61594493,0.109544508,0.701715425,0.720913502,0.717073886,KOG-02,0.550877193
CE V6.1,1.78,3.32,CE,P180,KOG,2,2017,7,0.671897904,0.147378165,0.748184083,0.771213306,0.766607462,KOG-02,0.536144578
CE V6.1,2.22,3.9,CE,P180,KOG,2,2017,8,0.677706714,0.160953234,0.786411714,0.808827226,0.804344124,KOG-02,0.569230769
CE V6.1,1.86,3.27,CE,P180,KOG,2,2017,9,0.685465484,0.086875631,0.768722136,0.787740602,0.783936909,KOG-02,0.568807339
CE V6.1,1.72,3.14,CE,P180,KOG,2,2017,10,0.674621079,0.07916812,0.75099189,0.775289473,0.770429957,KOG-02,0.547770701
CE V6.1,1.67,3.11,CE,P180,KOG,2,2017,11,0.672682964,0.087760215,0.752597589,0.769757953,0.76632588,KOG-02,0.536977492
CE V6.1,1.44,2.66,CE,P180,KOG,2,2017,12,0.596451,0.093151046,0.687393819,0.71578859,0.710109636,KOG-02,0.541353383
CE V6.1,0.7,0.7,CE,P180,KOG,2,2045,2,0.659392792,NA,0.700202672,0.686495877,0.689237236,KOG-02,1
CE V6.1,1.39,2.18,CE,P180,KOG,3,2013,9,0.624967134,0.076100405,0.675863393,0.693871149,0.690269597,KOG-03,0.637614679
CE V6.1,1.58,2.59,CE,P180,KOG,3,2013,11,0.750583765,0.090013774,0.768812929,0.780330088,0.778026656,KOG-03,0.61003861
CE V6.1,1.63,2.67,CE,P180,KOG,3,2013,12,0.73080335,0.108080584,0.766849715,0.77969509,0.777126015,KOG-03,0.610486891
CE V6.1,1.65,2.57,CE,P180,KOG,3,2014,1,0.662154772,0.129743701,0.719172911,0.742121113,0.737531473,KOG-03,0.642023346
CE V6.1,1.26,1.96,CE,P180,KOG,3,2014,2,0.624103505,0.088915064,0.641893752,0.667705853,0.662543433,KOG-03,0.642857143
CE V6.1,1.17,1.94,CE,P180,KOG,3,2014,3,0.650314428,0.087483208,0.656001911,0.677160189,0.672928534,KOG-03,0.603092784
CE V6.1,1.39,2.34,CE,P180,KOG,3,2014,4,0.670171364,0.079502375,0.697215906,0.711103606,0.708326066,KOG-03,0.594017094
CE V6.1,1.74,2.87,CE,P180,KOG,3,2014,5,0.732549273,0.070976341,0.760354482,0.777060667,0.77371943,KOG-03,0.606271777
CE V6.1,1.74,2.78,CE,P180,KOG,3,2014,6,0.696581713,0.095373315,0.753711797,0.779038456,0.773973124,KOG-03,0.625899281
CE V6.1,1.84,3.04,CE,P180,KOG,3,2014,7,0.750667868,0.104229827,0.791947223,0.804665327,0.802121706,KOG-03,0.605263158
CE V6.1,1.87,3.01,CE,P180,KOG,3,2014,9,0.685216233,0.113045859,0.778933155,0.797997788,0.794184861,KOG-03,0.621262458
CE V6.1,1.79,2.9,CE,P180,KOG,3,2014,10,0.731477311,0.119758807,0.774263061,0.787736332,0.785041678,KOG-03,0.617241379
CE V6.1,1.96,3.11,CE,P180,KOG,3,2014,11,0.700102431,0.114982027,0.787960926,0.804117661,0.800886314,KOG-03,0.63022508
CE V6.1,1.78,2.91,CE,P180,KOG,3,2014,12,0.706557722,0.135244399,0.758618228,0.779633922,0.775430783,KOG-03,0.611683849
CE V6.1,1.83,3.12,CE,P180,KOG,3,2015,1,0.683570628,0.144812969,0.752954942,0.779620692,0.774287542,KOG-03,0.586538462
CE V6.1,1.58,2.5,CE,P180,KOG,3,2015,2,0.606128471,0.111384599,0.689888367,0.720962898,0.714747992,KOG-03,0.632
CE V6.1,1.6,2.57,CE,P180,KOG,3,2015,3,0.667384256,0.073788724,0.726590897,0.752624985,0.747418168,KOG-03,0.622568093
CE V6.1,1.67,2.64,CE,P180,KOG,3,2015,5,0.647903888,0.083441423,0.734104177,0.755292849,0.751055115,KOG-03,0.632575758
CE V6.1,1.66,2.76,CE,P180,KOG,3,2015,6,0.737974319,0.088766897,0.779988252,0.792507246,0.790003448,KOG-03,0.601449275
CE V6.1,1.89,3.16,CE,P180,KOG,3,2015,7,0.730232449,0.109776566,0.795507047,0.812004745,0.808705205,KOG-03,0.598101266
CE V6.1,1.94,3.21,CE,P180,KOG,3,2015,8,0.747001052,0.112762206,0.796044509,0.809665007,0.806940907,KOG-03,0.604361371
CE V6.1,1.9,3.09,CE,P180,KOG,3,2015,9,0.723325481,0.10229943,0.786142225,0.801005146,0.798032562,KOG-03,0.614886731
CE V6.1,1.74,2.95,CE,P180,KOG,3,2015,10,0.757040202,0.103149919,0.786565903,0.794660079,0.793041244,KOG-03,0.589830508
CE V6.1,1.94,3.15,CE,P180,KOG,3,2015,11,0.739387053,0.112687373,0.779833819,0.797837054,0.794236407,KOG-03,0.615873016
CE V6.1,1.76,2.99,CE,P180,KOG,3,2015,12,0.739212928,0.101251302,0.773499386,0.790046838,0.786737348,KOG-03,0.588628763
CE V6.1,1.51,2.53,CE,P180,KOG,3,2016,1,0.670772675,0.100567408,0.718030783,0.735937978,0.732356539,KOG-03,0.596837945
CE V6.1,1.48,2.42,CE,P180,KOG,3,2016,2,0.636461737,0.101264674,0.68774918,0.712596951,0.707627397,KOG-03,0.611570248
CE V6.1,1.52,2.54,CE,P180,KOG,3,2016,3,0.719537863,0.095099325,0.742078394,0.761852452,0.75789764,KOG-03,0.598425197
CE V6.1,1.77,3.06,CE,P180,KOG,3,2016,4,0.75864764,0.081826713,0.778889649,0.797275803,0.793598572,KOG-03,0.578431373
CE V6.1,1.67,2.62,CE,P180,KOG,3,2016,5,0.680836966,0.082455813,0.748145574,0.768908643,0.764756029,KOG-03,0.63740458
CE V6.1,1.71,2.78,CE,P180,KOG,3,2017,5,0.687811598,0.067676422,0.755379679,0.770023385,0.767094644,KOG-03,0.615107914
CE V6.1,1.64,2.69,CE,P180,KOG,3,2017,7,0.711107764,0.072754957,0.757621192,0.775416674,0.771857578,KOG-03,0.609665428
CE V6.1,1.83,3.24,CE,P180,KOG,3,2017,8,0.804065453,0.122164597,0.832606715,0.837211148,0.836290261,KOG-03,0.564814815
CE V6.1,1.8,3,CE,P180,KOG,3,2017,9,0.737299809,0.095353187,0.795643987,0.806486956,0.804318362,KOG-03,0.6
CE V6.1,1.83,3.05,CE,P180,KOG,3,2017,10,0.746984467,0.09039124,0.802108911,0.816099101,0.813301063,KOG-03,0.6
CE V6.1,1.63,2.69,CE,P180,KOG,3,2017,11,0.754114132,0.085391058,0.781449197,0.784049618,0.783529534,KOG-03,0.605947955
CE V6.1,1.38,2.56,CE,P180,KOG,4,2013,6,0.642111911,0.125220589,0.682075003,0.701396551,0.697532242,KOG-04,0.5390625
CE V6.1,1.36,2.5,CE,P180,KOG,4,2013,7,0.571731092,0.125456667,0.64550037,0.675815663,0.669752604,KOG-04,0.544
CE V6.1,1.49,2.56,CE,P180,KOG,4,2013,8,0.595601643,0.121157502,0.673202062,0.706113124,0.699530911,KOG-04,0.58203125
CE V6.1,1.07,1.8,CE,P180,KOG,4,2013,9,0.563831864,0.08538578,0.613866208,0.641208954,0.635740405,KOG-04,0.594444444
CE V6.1,1.36,2.42,CE,P180,KOG,4,2013,11,0.625259435,0.112707519,0.656046037,0.684678826,0.678952268,KOG-04,0.561983471
CE V6.1,1.5,2.51,CE,P180,KOG,4,2013,12,0.579786467,0.110648746,0.655406645,0.690705873,0.683646028,KOG-04,0.597609562
CE V6.1,1.42,2.4,CE,P180,KOG,4,2014,1,0.570560632,0.106021492,0.640817841,0.684046042,0.675400402,KOG-04,0.591666667
CE V6.1,1.01,1.71,CE,P180,KOG,4,2014,2,0.55445033,0.075384147,0.573266464,0.594258682,0.590060238,KOG-04,0.590643275
CE V6.1,0.86,1.57,CE,P180,KOG,4,2014,3,0.520205013,0.087694678,0.526659484,0.554477706,0.548914062,KOG-04,0.547770701
CE V6.1,1.14,2.03,CE,P180,KOG,4,2014,4,0.572481435,0.100248491,0.620627568,0.645495485,0.640521901,KOG-04,0.561576355
CE V6.1,1.33,2.41,CE,P180,KOG,4,2014,5,0.599457316,0.118235209,0.654141428,0.681292063,0.675861936,KOG-04,0.55186722
CE V6.1,0.7,0.7,CE,P180,KOG,4,2014,6,0.747525981,NA,0.66108183,0.631657687,0.637542516,KOG-04,1
CE V6.1,1.54,2.72,CE,P180,KOG,4,2014,7,0.600563654,0.154226864,0.674627612,0.711078733,0.703788509,KOG-04,0.566176471
CE V6.1,1.59,2.8,CE,P180,KOG,4,2014,9,0.597300944,0.098603292,0.674922102,0.711881399,0.70448954,KOG-04,0.567857143
CE V6.1,1.45,2.67,CE,P180,KOG,4,2014,11,0.638246218,0.122230606,0.676759087,0.705069905,0.699407741,KOG-04,0.543071161
CE V6.1,1.33,2.4,CE,P180,KOG,4,2014,12,0.635347916,0.132416076,0.664559833,0.691683713,0.686258937,KOG-04,0.554166667
CE V6.1,1.28,2.29,CE,P180,KOG,4,2015,1,0.601072123,0.105911407,0.630365708,0.664440257,0.657625347,KOG-04,0.558951965
CE V6.1,1.34,2.36,CE,P180,KOG,4,2015,3,0.577938682,0.08941809,0.633606842,0.667762736,0.660931557,KOG-04,0.56779661
CE V6.1,1.3,2.3,CE,P180,KOG,4,2015,4,0.608935085,0.113124058,0.657500395,0.680528435,0.675922827,KOG-04,0.565217391
CE V6.1,1.3,2.23,CE,P180,KOG,4,2015,5,0.57330747,0.089805372,0.626833082,0.654170082,0.648702682,KOG-04,0.582959641
CE V6.1,1.27,2.32,CE,P180,KOG,4,2015,6,0.608203818,0.093313509,0.637229111,0.664568519,0.659100637,KOG-04,0.547413793
CE V6.1,1.78,3.12,CE,P180,KOG,4,2015,7,0.601319524,0.147888546,0.703762869,0.73845752,0.73151859,KOG-04,0.570512821
CE V6.1,1.7,3.01,CE,P180,KOG,4,2015,8,0.638969175,0.130822784,0.711421964,0.740004852,0.734288275,KOG-04,0.564784053
CE V6.1,1.62,2.83,CE,P180,KOG,4,2015,9,0.599684264,0.134838269,0.691972648,0.7277731,0.720613009,KOG-04,0.572438163
CE V6.1,1.48,2.7,CE,P180,KOG,4,2015,10,0.624657504,0.110623003,0.701278895,0.724873461,0.720154548,KOG-04,0.548148148
CE V6.1,1.74,3.08,CE,P180,KOG,4,2015,11,0.617370292,0.157489601,0.690516802,0.73072993,0.722687304,KOG-04,0.564935065
CE V6.1,1.47,2.56,CE,P180,KOG,4,2015,12,0.614261423,0.124004531,0.679594854,0.712190257,0.705671177,KOG-04,0.57421875
CE V6.1,1.52,2.63,CE,P180,KOG,4,2016,1,0.387554066,0.129927648,0.564639808,0.62251677,0.610941378,KOG-04,0.577946768
CE V6.1,1.22,2.21,CE,P180,KOG,4,2016,2,0.504723844,0.105815665,0.586542473,0.62578257,0.617934551,KOG-04,0.552036199
CE V6.1,1.28,2.22,CE,P180,KOG,4,2016,3,0.570084357,0.070202078,0.617248955,0.656652704,0.648771954,KOG-04,0.576576577
CE V6.1,1.51,2.66,CE,P180,KOG,4,2016,4,0.627359778,0.085866278,0.679776441,0.704346787,0.699432718,KOG-04,0.567669173
CE V6.1,1.52,2.69,CE,P180,KOG,4,2016,5,0.621787198,0.096871666,0.700340334,0.726825582,0.721528532,KOG-04,0.565055762
CE V6.1,1.43,2.69,CE,P180,KOG,4,2017,5,0.627946599,0.061528622,0.676168073,0.703396768,0.697951029,KOG-04,0.531598513
CE V6.1,1.61,2.79,CE,P180,KOG,4,2017,7,0.565207277,0.108654269,0.688601348,0.718108417,0.712207004,KOG-04,0.577060932
